quizzes,solutions
004300209005009001070060043006002087190007400050083000600000105003508690042910300,864371259325849761971265843436192587198657432257483916689734125713528694542916378
040100050107003960520008000000000017000906800803050620090060543600080700250097100,346179258187523964529648371965832417472916835813754629798261543631485792254397186
600120384008459072000006005000264030070080006940003000310000050089700000502000190,695127384138459672724836915851264739273981546946573821317692458489715263562348197
497200000100400005000016098620300040300900000001072600002005870000600004530097061,497258316186439725253716498629381547375964182841572639962145873718623954534897261
005910308009403060027500100030000201000820007006007004000080000640150700890000420,465912378189473562327568149738645291954821637216397854573284916642159783891736425
100005007380900000600000480820001075040760020069002001005039004000020100000046352,194685237382974516657213489823491675541768923769352841215839764436527198978146352
009065430007000800600108020003090002501403960804000100030509007056080000070240090,289765431317924856645138729763891542521473968894652173432519687956387214178246395
000000657702400100350006000500020009210300500047109008008760090900502030030018206,894231657762495183351876942583624719219387564647159328128763495976542831435918276
503070190000006750047190600400038000950200300000010072000804001300001860086720005,563472198219386754847195623472638519951247386638519472795864231324951867186723945
203090040800150020700046508560074009010002850009500003170000600000001492084000000,253897146846153927791246538568374219317962854429518763172439685635781492984625371
300762000000800000020000715504090008070520403160300090401900670000100040690048300,315762984749815236826439715534697128978521463162384597481953672253176849697248351
503401006200907000008020005071004000006800490059000608007030200030060104002109070,593481726264957831718326945871694352326815497459273618147538269935762184682149573
500104090006030002091070003070000060650001904930408500240605087800302005000040100,523184796786539412491276853174953268658721934932468571249615387817392645365847129
068700900004000071030809050300080100040005007007304092602001005000020600059030028,568712943924653871731849256395287164246195387817364592682971435473528619159436728
410000087000069030903400500000030690078020003305600802007000040020504001160200709,416352987752869134983417526241738695678925413395641872537196248829574361164283759
091270000640100003000005098009046072002000400087030501030500800206008950100604030,891273645645189723723465198519846372362751489487932561934527816276318954158694237
490700100000064502027080009670540008300000240805009030051630000008002690000100007,496725183183964572527381469672543918319876245845219736951637824738452691264198357
500702090702600084100058000004000000860400012090065300403200901078013006000000005,586742193732691584149358267314827659865439712297165348453286971978513426621974835
607008200000500804504000901000050040060870020019036500700093608000700000801042003,697418235123569874584327961278951346365874129419236587742193658936785412851642793
901002500600500730000160080008603490704000000003091008807300100040005026200080050,971832564682549731435167982128673495794258613563491278857326149349715826216984357
106070230054208907907360408030520094000036000015007080040000100000004050702050006,186479235354218967927365418638521794479836521215947683543682179861794352792153846
000731060800906050030000200020300086078004500059072000000510038160090400007040902,295731864814926357736485291421359786378164529659872143942517638163298475587643912
850000201006079304900081000070460000318000005005108902643900500000006100000024007,857643291126579384934281756279465813318792465465138972643917528782356149591824637
069800020240730105000005080007600000030148600020000040000000750800062930001479200,569814327248736195713295486487623519935148672126957843692381754874562931351479268
670000004803040106001008930020701008750800409000060020002003540410907062030000000,675319284893245176241678935324791658756832419189564723962183547418957362537426891
030006007004050200100390060000807450060120008708005009010900000053040720807002036,539286147684751293172394865391867452465129378728435619216973584953648721847512936
507018200000620070340005600084500000200074003000960047000000590001340006009107084,567418239918623475342795618784531962296874153135962847473286591851349726629157384
003050947900602500004030061070000300006501720805006000058010000600703010340200809,263158947917642583584937261179824356436591728825376194758419632692783415341265879
000980600500326140700500003005009210164000090203040005400701006902000800010002000,341987652589326147726514983875639214164275398293148765438791526952463871617852439
040000000037086049000014806013600580000200700062050001008120003000045090950703100,846972315137586249295314876413697582589231764762458931678129453321845697954763128
560018070008056031000090008040980200186000007907301000010024050650000004030600029,563418972298756431471293568345987216186542397927361845719824653652139784834675129
002503670050460091009000050160080300024000900000070162040010830500900020708600004,412593678853467291679821453167289345324156987985374162246715839531948726798632514
024010760007400001030009508083002004060030920090500080500600000002004093009100670,824315769957486231136279548783962154465831927291547386578693412612754893349128675
009000000620045080470600315080019240000030600150026078302780000010004000007000162,539178426621345789478692315786519243294837651153426978362781594915264837847953162
924060100050090307000580640201007008060000000703420900300851000800300090500009070,924763185658194327137582649291637458465918732783425916379851264842376591516249873
004073806700102040009500007060207050300810000528004090000000100000460580803009020,254973816736182945189546237461297358397815462528634791645328179972461583813759624
090020007103095200804000001507340900080207600010600040050063000000000480706910302,695124837173895264824736591567341928489257613312689745258463179931572486746918352
300080760001907200460001050708000006040000305132046000090210070000050089805730040,329485761581967234467321958758193426946872315132546897694218573273654189815739642
406000205030005700000407609108030004090200080700019000209680003300500001817900020,476398215932165748581427639128736954693254187745819362259681473364572891817943526
005400160300700020091200507670008900509000012040305800037910600004076030800000004,725489163368751429491263587673128945589647312142395876237914658954876231816532794
058014307002300069790000180016008000200040008080605090400050000007400003530090702,658914327142387569793562184916238475275149638384675291429753816867421953531896742
000000351083002490000750080005000230100000904762009500607010000090034020050080060,276498351583162497419753682945871236138526974762349518627915843891634725354287169
100583000000000060078120030600000090030005410510072000000094006324000008005837002,196583724253749861478126539647318295832965417519472683781294356324651978965837142
200000690084000130000837000005900820000006000079041060062700310710005900058302040,237154698584629137196837254645973821321586479879241563462798315713465982958312746
000008705900437000408650090620140800000082004030000071005000903301900060006015028,163298745952437186478651392627143859519782634834569271245876913381924567796315428
210084000005000000004560300000007508000642007960801203002936005806000012509010700,213784659695123874784569321421397568358642197967851243172936485836475912549218736
009005030100300056080746020900100403040030000072680010205007001436920008007000090,769215834124398756583746129958172463641539287372684915295867341436921578817453692
200005187480090030037600900600009045000800070008026000003072000020403001900150260,296345187481297536537681924612739845359814672748526319163972458825463791974158263
900300750000001040540020000800573400102400600004600589008005012603080970070039000,921346758387951246546827193869573421152498637734612589498765312613284975275139864
700026000801900600054000082300204100200030476085010090900052004000780360037001000,793826541821945637654173982376294158219538476485617293968352714142789365537461829
002000005680000700150040260205600800070901400064008320001082073800509000007103009,742816935683295714159347268215634897378921456964758321591482673836579142427163589
070364082000900407201000600090420001018057040000000365832000000009008730004109000,975364182683912457241785693596423871318657249427891365832576914159248736764139528
000300076890002100046009083050000090020046008004810000000090320280670504037501000,512384976893762145746159283658237491321946758974815632165498327289673514437521869
000584000007026040003000860279001350300200010401000906000865001602009007190400005,926584173817326549543917862279641358365298714481753926734865291652139487198472635
400000702900810405600300800000900510308700000070060028150240609090053000002600100,481596732937812465625374891264938517318725946579461328153247689896153274742689153
090500708067400035020008100008239410370006000009100080716000004400002096000304500,194523768867491235523678149658239417371846952249157683716985324435712896982364571
120053600050090240000800300840170900390040006000060087580010000000000820700602091,128453679653791248479826315846175932397248156215369487582914763961537824734682591
026000001000900074080310902205076100000090050030000087003007600014050320500408009,926784531351962874487315962245876193178293456639541287893127645714659328562438719
000420037000006504780501900006800053307060000000092710400009001612050390809000020,965428137231976584784531962196847253327165849548392716453289671612754398879613425
080030040000000259005217080001600307004005900620800500900002436300080000007041002,286539741173468259495217683851694327734125968629873514918752436342986175567341892
020600007410900830500040009000070063049102000068003020002750001004209085030080700,923618457417925836586347219251874963349162578768593124892756341174239685635481792
